Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,11452.21,137426.52,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (5 TB), Snapshot Frequency (Hourly), Amount changed per snapshot (3 GB), Data Transfer, Data transfer cost (102.30999999999999), Advance EC2 instance (d2.4xlarge), Pricing strategy (On-Demand)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,7404.96,88859.52,USD,"Quantity (3), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Instance type (db.m5.4xlarge), Additional backup storage (0 GB)"
My Estimate,US East (N. Virginia),S3 Standard,0,2.3,27.6,USD,S3 Standard storage (100 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,92.07,1104.84,USD,"Data Transfer, Data transfer cost (92.07)"
My Estimate,US East (N. Virginia),Amazon CloudWatch,0,9.2894,111.47,USD,
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,441.65,5299.8,USD,Number of Application Load Balancers (2)
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
,,,,,,,
,,,,,,,
Narrative,,,,,,,
1. Changed EC2 instance type to d2.4xlarge from a1.xlarge. This will provide higher performance on both webserver and application servers,,,,,,,
2. Added another RDS read replica. This will provide enhanced read performance and increased availability,,,,,,,
3. Elastic Load Balancer and CloudWatch were already added in the first estimate. CloudWatch will provide metrics to continuously monitor the resources. ,,,,,,,
